Current [nA],time
-0.060127,0.0
-0.056421000000000006,0.020709753036499023
-0.030032,0.04180192947387695
-0.06324,0.06281876564025879
-0.064426,0.08376574516296387
-0.045301999999999995,0.10459280014038086
-0.068874,0.12541484832763672
-0.04545,0.146256685256958
-0.111429,0.167097806930542
-0.045308999999999995,0.1879749298095703
-0.06043,0.2088148593902588
-0.059986000000000005,0.2296597957611084
-0.055538,0.2505037784576416
-0.040268,0.2713508605957031
-0.063099,0.2921907901763916
-0.038637,0.3130307197570801
-0.067991,0.33396077156066895
-0.056428,0.35480475425720215
-0.06904400000000001,0.37572169303894043
-0.07527,0.3965628147125244
-0.0812,0.417407751083374
-0.065337,0.4382507801055908
-0.049326,0.45950889587402344
-0.0431,0.4808647632598877
-0.058814,0.5021476745605469
-0.07438099999999999,0.5234308242797852
-0.075419,0.5447947978973389
-0.065041,0.5660758018493652
-0.077791,0.5874028205871582
-0.061778999999999994,0.6087076663970947
-0.049178,0.6300249099731445
-0.054515,0.6513359546661377
-0.065189,0.6726508140563965
-0.052884,0.6937787532806396
-0.06163099999999999,0.714993953704834
-0.047547000000000006,0.7362968921661377
-0.05940700000000001,0.7576048374176025
-0.068451,0.7789177894592285
-0.053626,0.8002347946166992
-0.043544,0.8213098049163818
-0.048585,0.8426318168640137
-0.07186100000000001,0.8640248775482178
-0.094395,0.8853418827056885
-0.055849,0.906653881072998
-0.077049,0.9278929233551025
-0.039689999999999996,0.9492077827453613
-0.067709,0.9705178737640381
-0.073491,0.991844892501831
-0.046508999999999995,1.0131547451019287
-0.065486,1.0344657897949219
-0.071416,1.0558018684387207
-0.070675,1.0767736434936523
-0.038058999999999996,1.097653865814209
-0.046064999999999995,1.1184918880462646
-0.056146,1.1393449306488037
-0.070971,1.160193920135498
-0.043989,1.181032657623291
-0.037021,1.2018778324127197
-0.083328,1.2227237224578857
-0.043151,1.2436378002166748
-0.081993,1.264481782913208
-0.070875,1.2854008674621582
-0.032032,1.306567907333374
-0.062572,1.3278307914733887
-0.056642,1.3488008975982666
-0.049823,1.3701097965240479
-0.047747000000000005,1.3914947509765625
-0.051009,1.4128859043121338
-0.088813,1.4341998100280762
-0.061979,1.4555127620697021
-0.08481,1.476902723312378
-0.060941999999999996,1.4982168674468994
-0.059311,1.5195236206054688
